date,industry,daily_sentiment_score,tweet_count
2025-02-12,Agri,0.05795426461368033,39
2025-02-12,Energy,-0.07624127777914207,39
2025-02-12,Tech,0.08106728182293664,39
2025-02-13,Agri,-0.003429474070286156,39
2025-02-13,Energy,0.03419148191236532,39
2025-02-13,Tech,0.10331142722414086,39
2025-02-14,Agri,0.00943204137281729,39
2025-02-14,Energy,0.04767935252629027,39
2025-02-14,Tech,0.1928528282457055,39
2025-02-15,Agri,0.07214818066224837,39
2025-02-15,Energy,0.07094937068625137,39
2025-02-15,Tech,0.06274200887538682,39
2025-02-16,Agri,-0.10591763675881502,39
2025-02-16,Energy,0.14767169136888322,39
2025-02-16,Tech,0.1153089512282839,39
2025-02-17,Agri,0.0464931790693066,39
2025-02-17,Energy,-0.1085467209848456,39
2025-02-17,Tech,-0.02109712161696876,39
2025-02-18,Agri,0.20857239878760317,39
2025-02-18,Energy,0.026755909578731422,39
2025-02-18,Tech,0.05021277721971273,39
2025-02-19,Agri,0.07594602096539275,39
2025-02-19,Energy,-0.08454742467699526,39
2025-02-19,Tech,0.09328788055632357,39
2025-02-20,Agri,0.0777720102132895,39
2025-02-20,Energy,0.1570248569911107,39
2025-02-20,Tech,0.1034868040289252,39
2025-02-21,Agri,0.1474478515820243,39
2025-02-21,Energy,-0.06994923954017652,39
2025-02-21,Tech,0.05074426990288953,39
2025-02-22,Agri,0.07024154943437912,39
2025-02-22,Energy,0.1501186547251657,39
2025-02-22,Tech,0.1287064268134343,39
2025-02-23,Agri,0.04078784131277828,39
2025-02-23,Energy,0.22763111664412114,39
2025-02-23,Tech,0.0433059167852135,38
2025-02-24,Agri,0.14712700059112066,39
2025-02-24,Energy,-0.2672545695557999,39
2025-02-24,Tech,-0.1575540094039379,39
2025-02-25,Agri,0.05727006050829702,39
2025-02-25,Energy,-0.04554316308349375,39
2025-02-25,Tech,-0.17734283655404282,39
2025-02-26,Agri,0.1631315063494138,39
2025-02-26,Energy,0.049354750639162,39
2025-02-26,Tech,0.001932427860223333,39
2025-02-27,Agri,0.11387650721157208,39
2025-02-27,Energy,-0.2019008675781198,39
2025-02-27,Tech,-0.1589209611336581,39
2025-02-28,Agri,0.08991163686061134,39
